Questions,options,answer
"
                            Which of the following is a Data Model?
                        ","['A.entity-relationship model', 'B. relational data model', 'C. object-based data model', 'D. all of the above']","
                    Answer»
                    D. all of the above
                "
"
                            A collection of related data.
                        ","['A.Information', 'B. Valuable information', 'C. Database', 'D. Metadata']","
                    Answer»
                    C. Database
                "
"
                            DBMS is software.
                        ","['A.True', 'B. False', 'C. none', 'D. all']","
                    Answer»
                    A. True
                "
"
                            DBMS manages the interaction between __________ and database.
                        ","['A.Users', 'B. Clients', 'C. End Users', 'D. Stake Holders']","
                    Answer»
                    C. End Users
                "
"
                            Which of the following is not involved in DBMS?
                        ","['A.End Users', 'B. Data', 'C. Application Request', 'D. HTML']","
                    Answer»
                    D. HTML
                "
"
                            Database is generally __________
                        ","['A.System-centered', 'B. User-centered', 'C. Company-centered', 'D. Data-centered']","
                    Answer»
                    B. User-centered
                "
"
                            A characteristic of an entity.
                        ","['A.Relation', 'B. Attribute', 'C. Parameter', 'D. Constraint']","
                    Answer»
                    B. Attribute
                "
"
                            The restrictions placed on the data.
                        ","['A.Relation', 'B. Attribute', 'C. Parameter', 'D. Constraint']","
                    Answer»
                    D. Constraint
                "
"
                            IMS stands for?
                        ","['A.Information Mastering System', 'B. Instruction Management System', 'C. Instruction Manipulating System', 'D. Information Management System']","
                    Answer»
                    D. Information Management System
                "
"
                            A model developed by Hammer and Mc Leod in 1981.
                        ","['A.SDM', 'B. OODBM', 'C. DDM', 'D. RDM']","
                    Answer»
                    A. SDM
                "
"
                            Object=_________+relationships.
                        ","['A.data', 'B. attributes', 'C. entity', 'D. constraints']","
                    Answer»
                    C. entity
                "
"
                            Duplication of data at several places is called as _______________.
                        ","['A.Data Inconsistency', 'B. Data Isolation', 'C. Atomicity Problem', 'D. Data Redundance']","
                    Answer»
                    D. Data Redundance
                "
"
                            Data Redundancy increases the cost of storing and retrieving data.
                        ","['A.False', 'B. True', 'C. none', 'D. all']","
                    Answer»
                    B. True
                "
"
                            Which of the information is not redundant.
                        ","['A.name', 'B. mobile', 'C. account-no', 'D. address']","
                    Answer»
                    C. account-no
                "
"
                            If in redundant file common fields are not matching then it results in _____________.
                        ","['A.Data Inconsistency', 'B. Data Integrity Problem', 'C. Data Isolation', 'D. Data Redundancy']","
                    Answer»
                    A. Data Inconsistency
                "
"
                            It is difficult to access conventional file system than Database System.
                        ","['A.True', 'B. False', 'C. none', 'D. all']","
                    Answer»
                    A. True
                "
"
                            An ________ is a set of entities of the same type that share the same properties, or
attributes.
                        ","['A.Entity set', 'B. Attribute set', 'C. Relation set', 'D. Entity model']","
                    Answer»
                    A. Entity set
                "
"
                            Entity is a _________
                        ","['A.Object of relation', 'B. Present working model', 'C. Thing in real world', 'D. Model of relation']","
                    Answer»
                    C. Thing in real world
                "
"
                            The descriptive property possessed by each entity set is _________
                        ","['A.Entity', 'B. Attribute', 'C. Relation', 'D. Model']","
                    Answer»
                    B. Attribute
                "
"
                            The function that an entity plays in a relationship is called that entity’s _____________
                        ","['A.Participation', 'B. Position', 'C. Role', 'D. Instance']","
                    Answer»
                    C. Role
                "
"
                            The attribute name could be structured as an attribute consisting of first name, middle
initial, and last name. This type of attribute is called
                        ","['A.Simple attribute', 'B. Composite attribute', 'C. Multivalued attribute', 'D. Derived attribute']","
                    Answer»
                    B. Composite attribute
                "
"
                            In a relation between the entities the type and condition of the relation should be specified.
That is called as______attribute.
                        ","['A.Desciptive', 'B. Derived', 'C. Recursive', 'D. Relative']","
                    Answer»
                    A. Desciptive
                "
"
                            _____________ can help us detect poor E-R design.
                        ","['A.Database Design Process', 'B. E-R Design Process', 'C. Relational scheme', 'D. Functional dependencies']","
                    Answer»
                    D. Functional dependencies
                "
"
                            If a multivalued dependency holds and is not implied by the corresponding functional
dependency, it usually arises from one of the following sources.
                        ","['A.A many-to-many relationship set', 'B. A multivalued attribute of an entity set', 'C. A one-to-many relationship set', 'D. Both A many-to-many relationship set and A multivalued attribute of an entity set']","
                    Answer»
                    D. Both A many-to-many relationship set and A multivalued attribute of an entity set
                "
"
                            Which of the following has each related entity set has its own schema and there is an
additional schema for the relationship set.
                        ","['A.A many-to-many relationship set', 'B. A multivalued attribute of an entity set', 'C. A one-to-many relationship set', 'D. All of the mentioned']","
                    Answer»
                    A. A many-to-many relationship set
                "
