Questions,options,answer
1) If x is a set and the set contains an integer which is neither positive nor negative then the set x is ____________.,"['', 'Set is Empty', 'Set is Non-empty', 'Set is Finite.', 'Set is both Non- empty and Finite.', '']","
Answer: d) Set is both Non- empty and Finite.
Explanation: The non-empty and finite set is set {0}. 
"
"2) If x ∈ N and x is prime, then x is ________ set.","['', 'Infinite set', 'Finite set', 'Empty set', 'Not a set', '']","
Answer: a) Infinite set
Explanation: There is no extreme prime, so the number of primes is infinite.
"
"3) If x is a set and the set contains the real number between 1 and 2, then the set is ________.","['', 'Empty set', 'Finite set', 'Infinite set', 'None of the mentioned', '']","
Answer: c) Infinite set.
Explanation: X is an infinite set as there are infinitely many real numbers between 1 and 2.
"
"4) Which of the following is a subset of set {1, 2, 3, 4}?","['', '{1, 2}', '{1, 2, 3}', '{1}', 'All of the mentioned', '']","
Answer: d) All of the mentioned
Explanation: The subset of set (1, 2, 3, 4} is {1, 2}, {1, 2, 3}, and {1}.
"
"5) Convert the set x in roster form if set x contains the positive prime number, which divides 72.","['', '{∅}', '{2, 3}', '{2, 3, 7}', '{3, 5, 7}', '']","
Answer: b) {2, 3}
Explanation: 2 and 3 are the divisors of 72, which are prime. So, the roster form of set x is (2, 3}.
"
6) Power set of empty or Null set has exactly _________ subset.,"['', 'One', 'Two', 'Zero', 'Three', '']","
Answer: a) One
Explanation: The power set of the Null set has exactly one subset, which is an empty set.
"
"7) What is the Cartesian product of set A and set B, if the set A = {1, 2} and set B = {a, b}?","['', '{ (1, a), (1, b), (2, a), (b, b) }', '{ (1, 1), (2, 2), (a, a), (b, b) }', '{ (1, a), (2, a), (1, b), (2, b) }', '{ (1, 1), (a, a), (2, a), (1, b) }', '']","
Answer: c) { (1, a), (2, a), (1, b), (2, b) }
Explanation: A subset R of the Cartesian product A x B is a relation from the set A to the set B.
"
8) The members of the set S = {x | x is the square of an integer and x < 100} is ________________,"['', '{0, 2, 4, 5, 9, 55, 46, 49, 99, 81}', '{1, 4, 9, 16}', '{0, 1, 4, 9, 16, 25, 36, 49, 64, 81}', '{0, 1, 4, 9, 25, 36, 49, 123}', '']","
Answer: c) {0, 1, 4, 9, 16, 25, 36, 49, 64, 81}
Explanation: The set S contains the square of an integer less than 10. That's why the third option is correct according to the given set.
"
"9) The intersection of the sets {1, 2, 8, 9, 10, 5} and {1, 2, 6, 10, 12, 15} is the set _____________","['', '{1, 2, 10}', '{5, 6, 12, 15}', '{2, 5, 10, 9}', 'sd) {1, 6, 12, 9, 8}', '']","
Answer: a) {1, 2, 10}
Explanation: The intersection of the two sets is the set that contains the common elements of both the given sets. That's why the first option is right according to the given sets.
"
"10) The difference of {1, 2, 3, 6, 8} and {1, 2, 5, 6} is the set ____________","['', '{1, 3}', '{5, 6, 8}', '{3, 8}', '{2, 6, 5}', '']","
Answer: c) {3, 8}
Explanation: The 'difference of the sets A and B' (A-B) is the set that contains the elements that are in set A but not in set B.
"
11) If n(A) = 20 and n(B) = 30 and n(A U B) = 40 then n(A ∩ B) is?,"['', '20', '30', '40', '10', '']","
Answer: d) 10
Explanation: By using the formula we can calculate n(A ∩ B), 
n(A U B) = n(A) + n(B) - n(A ∩ B).
n(A ∩ B) = n(A) + n(B) - n(A U B)
n(A ∩ B) = 20 + 30 - 40
So, n(A ∩ B) = 10
"
"12) Let the players who play cricket be 12, the ones who play football 10, those who play only cricket are 6, then the number of players who play only football are ___________, assuming there is a total of 16 players.","['', '16', '8', '4', '10', '']","
Answer: c) 4
Explanation: None
"
13) Which among the following can be taken as the discrete object?,"['', 'People', 'Rational numbers', 'Integers', 'All of the mentioned', '']","
Answer: d) All of the mentioned
Explanation: Discrete object includes people, houses, rational numbers, integers, automobiles. 
"
