Questions,options,answer
1) How can we describe an array in the best possible way?,"['', 'The Array shows a hierarchical structure.', 'Arrays are immutable.', 'Container that stores the elements of similar types', 'The Array is not a data structure', '']","
Answer: c
Explanation: The answer is c because array stores the elements in a contiguous block of memory of similar types. Therefore, we can say that array is a container that stores the elements of similar types.
"
2) Which of the following is the correct way of declaring an array?,"['', 'int javatpoint[10];', 'int javatpoint;', 'javatpoint{20};', 'array javatpoint[10];', '']","
Answer: a
Explanation: The answer is a because int specifies the type of the array, javatpoint is the name of the array, and 10 is the size of the array enclosed within the square brackets.
"
3) How can we initialize an array in C language?,"['', 'int arr[2]=(10, 20)', 'int arr(2)={10, 20}', 'int arr[2] = {10, 20}', 'int arr(2) = (10, 20)', '']","
Answer: c
Explanation: The answer is c because the values assigned to the array must be enclosed within a curly bracket.
"
4) Which of the following is the advantage of the array data structure?,"['', 'Elements of mixed data types can be stored.', 'Easier to access the elements in an array', 'Index of the first element starts from 1.', 'Elements of an array cannot be sorted', '']","
Answer: b
Explanation: The answer is b because the elements in an array are stored in a contiguous block of memory, so it is easier to access the elements of an array through indexing.
"
5) Which of the following highly uses the concept of an array?,"['', 'Binary Search tree', 'Caching', 'Spatial locality', 'Scheduling of Processes', '']","
Answer: c
Explanation: The answer is c, i.e., Spatial locality. Here, spatial locality means that the instruction accessed recently, then the nearby memory location would be accessed in the next iteration. As we know that in an array, all the elements are stored in a contiguous block of memory, so spatial locality is accessed quickly.
"
6) Which of the following is the disadvantage of the array?,"['', 'Stack and Queue data structures can be implemented through an array.', 'Index of the first element in an array can be negative', 'Wastage of memory if the elements inserted in an array are lesser than the allocated size', 'Elements can be accessed sequentially.', '']","
Answer: c
Explanation: The answer is c. For example, if we have an array of size 10 elements and we have inserted only 5 elements in an array then there is a wastage of 5 memory blocks which cannot be utilized by another variable.
"
7) What is the output of the below code?,"['', 'Garbage value', '10', '50', 'None of the above', '']","
Answer: a
Explanation: The answer is a because the indexing in an array starts from 0, so it starts from arr[0] to arr[4]. If we try to access arr[5] then the garbage value will be printed.
"
8) Which one of the following is the size of int arr[9] assuming that int is of 4 bytes?,"['', '9', '36', '35', 'None of the above', '']","
Answer: b
Explanation: The answer is b because the size of int type data is 4 bytes. The array stores 9 elements, so the size of the array is 9*4=36 bytes.
"
9) Which one of the following is the process of inserting an element in the stack?,"['', 'Insert', 'Add', 'Push', 'None of the above', '']","
Answer: c
Explanation: The answer is c. In stack, the process of inserting an element is known as a push operation.
"
10) When the user tries to delete the element from the empty stack then the condition is said to be a ____,"['', 'Underflow', 'Garbage collection', 'Overflow', 'None of the above', '']","
Answer: a
Explanation: The answer is a. Underflow is a condition that occurs when user tries to implement the pop operation in the empty stack.
"
11) If the size of the stack is 10 and we try to add the 11th element in the stack then the condition is known as___,"['', 'Underflow', 'Garbage collection', 'Overflow', 'None of the above', '']","
Answer: c
Explanation: The answer is c because the stack is full with its 10 elements, and inserting one more element in a stack will lead to the stack overflow.
"
12) Which one of the following is not the application of the stack data structure,"['', 'String reversal', 'Recursion', 'Backtracking', 'Asynchronous data transfer', '']","
Answer: d
Explanation: The answer is d. The first three options are the stack applications, but option d is not a stack application. The queue data structure is used for synchronization between the processes.
"
13) Which data structure is mainly used for implementing the recursive algorithm?,"['', 'Queue', 'Stack', 'Binary tree', 'Linked list', '']","
Answer: b
Explanation: The answer is b. Recursion means calling the function itself again. Stack is used to maintain the previous records of the function.
"
14) Which data structure is required to convert the infix to prefix notation?,"['', 'Stack', 'Linked list', 'Binary tree', 'Queue', '']","
Answer: a
Explanation: The answer is a, i.e., stack. Stack is a data structure used to reverse the order of the operators in the expression. It is also used as a storage structure that stores all the operators and print all the operators when all the operands have appeared.
"
15) Which of the following is the infix expression?,"['', 'A+B*C', '+A*BC', 'ABC+*', 'None of the above', '']","
Answer: a
Explanation: The answer is a, i.e., A+B*C because, in infix notation, all the operators appear between the operands.
"
16) Which of the following is the prefix form of A+B*C?,"['', 'A+(BC*)', '+AB*C', 'ABC+*', '+A*BC', '']","
Answer: d
Explanation: The answer is d. The prefix notation means all the operators that appear before operand.
To convert the infix expression into a prefix expression, we will move the operator to the left of the parenthesis as shown in the below figure.
"
17) Which of the following is not the correct statement for a stack data structure?,"['', 'Arrays can be used to implement the stack', 'Stack follows FIFO', 'Elements are stored in a sequential manner', 'Top of the stack contains the last inserted element', '']","
Answer: b
Explanation: The answer is b because Stack does not follow FIFO. It follows LIFO.
"
"18) If the elements '1', '2', '3' and '4' are added in a stack, so what would be the order for the removal?","['', '1234', '2134', '4321', 'None of the above', '']","
Answer: c
Explanation: The answer is c because stack follows LIFO, which means that the element inserted at the last will be removed first.
"
"19) What is the outcome of the prefix expression +, -, *, 3, 2, /, 8, 4, 1?","['', '12', '11', '5', '4', '']","
Answer: c
Explanation: Reverse of the prefix expression: 1, 4, 8, /, 2, 3, *, -, +


Reading of prefix
Top of the stack
Stack representation


1
1



4
4



8
8



/
(8/4)



2
2



3
3



*
(2*3)



-
(2*3) - (8/4)



+
(2*3) - (8/4) +1



The infix expression of the above prefix expression is:
(2*3) - (8/4) +1
6 -2 +1 = 5
"
20) The minimum number of stacks required to implement a stack is __,"['', '1', '3', '2', '5', '']","
Answer: c
Explanation: The answer is 2. In Queue, one stack is required for the enqueue operation, and another stack will be used for the dequeue operation. The first stack is considered as the input stack whereas the second stack is considered as the output stack.
"
21) Which one of the following node is considered the top of the stack if the stack is implemented using the linked list?,"['', 'First node', 'Second node', 'Last node', 'None of the above', '']","
Answer: a
Explanation: The answer is a, i.e., First node. As we know, that last inserted element in the stack is considered as the top of the stack. Whenever the element is added to the linked list, it is always added at the beginning of the list. Therefore, we can say that the first node in the linked list is considered as the top of the stack.
"
22) Consider the following stack implemented using stack.,"['', '8', '9', '11', '10', '']","
Answer: d
Explanation: The answer is 10. The maximum size of the array is 11; therefore, we can insert 11 elements in the stack. The top value is initialized by -1, and on every insertion, the top value gets incremented.
"
23) What is another name for the circular queue among the following options?,"['', 'Square buffer', 'Rectangle buffer', 'Ring buffer', 'None of the above', '']","
Answer: c
Explanation: The circular queue is also known as a ring buffer. In a circular queue, the last element is connected back to the first element of the queue that forms a circle. Therefore, the structure of a circular queue is also known as a ring structure.
"
"24) If the elements '1', '2', '3' and '4' are inserted in a queue, what would be order for the removal?","['', '1234', '4321', '3241', 'None of the above', '']","
Answer: a
Explanation: The answer is a, i.e., 1234. The queue follows the FIFO principle in which the element inserted first will be removed first.
"
"25) A list of elements in which enqueue operation takes place from one end, and dequeue operation takes place from one end is__","['', 'Binary tree', 'Stack', 'Queue', 'Linked list', '']","
Answer: c
Explanation: The answer is Queue. Queue is a data structure in which insertion takes place from one end, and deletion takes place from one end.
"
26) Which of the following principle does Queue use?,"['', 'LIFO principle', 'FIFO principle', 'Linear tree', 'Ordered array', '']","
Answer: b
Explanation: The answer is FIFO principle. Here, FIFO stands for First-In-First-Out. It means that the element which is inserted first will also be removed first.
"
27) Which one of the following is not the type of the Queue?,"['', 'Linear Queue', 'Circular Queue', 'Double ended Queue', 'Single ended Queue', '']","
Answer: d
Explanation: The answer is d. i.e., single ended queue. Queue has two ends in which one end is used for the insertion and another end is used for the deletion. Therefore, it is not possible for the Queue to have a single ended queue.
"
28) Which one of the following is the overflow condition if linear queue is implemented using an array with a size MAX_SIZE?,"['', 'rear = front', 'rear = front+1', 'rear=MAX_SIZE -1', 'rear = MAX_SIZE', '']","
Answer: c
Explanation: The answer is c, i.e., rear=MAX_SIZE-1. As the size of the array is MAX_SIZE, so we can insert the elements till MAX_SIZE-1. If we try to insert the elements of size MAX_SIZE or more than MAX_SIZE in a queue, then it leads to the overflow condition. 
"
29) Which one of the following is the overflow condition if a circular queue is implemented using array having size MAX?,"['', 'rear= MAX-1', 'rear=MAX', 'front=(rear+1) mod max', 'None of the above', '']","
Answer: c
Explanation: The answer is c, i.e., front=(rear+1) mod max. The overflow condition for the linear queue is rear =MAX-1 as there is no space left in the Queue if rear = MAX-1. On the other hand, in a circular queue, the overflow condition is front=(rear+1) mod max because the last element is connected to the first element in a circular queue.
"
30) The time complexity of enqueue operation in Queue is __,"['', 'O(1)', 'O(n)', 'O(logn)', 'O(nlogn)', '']","
Answer: a
Explanation: The answer is a, i.e., O(1). In Queue, the insertion is performed at the rear end, which is directly accessible; therefore, it takes O(1) time to insert an element in a Queue.
"
